Ingredient code,Ingredient despcription,Nutrient code,Nutrient description ,Nutrient value
9176,"Mangos, raw",606,"Fatty acids, total saturated",0.092
9176,"Mangos, raw",645,"Fatty acids, total monounsaturated",0.14
9176,"Mangos, raw",646,"Fatty acids, total polyunsaturated",0.071
9178,"Mango, dried, sweetened",204,Total Fat,1.18
9178,"Mango, dried, sweetened",601,Cholesterol,0
9178,"Mango, dried, sweetened",606,"Fatty acids, total saturated",0.287
9178,"Mango, dried, sweetened",645,"Fatty acids, total monounsaturated",0.439
9178,"Mango, dried, sweetened",646,"Fatty acids, total polyunsaturated",0.222
9181,"Melons, cantaloupe, raw",204,Total Fat,0.18
9181,"Melons, cantaloupe, raw",601,Cholesterol,0
9181,"Melons, cantaloupe, raw",606,"Fatty acids, total saturated",0.051
9181,"Melons, cantaloupe, raw",645,"Fatty acids, total monounsaturated",0.003
9181,"Melons, cantaloupe, raw",646,"Fatty acids, total polyunsaturated",0.081
9184,"Melons, honeydew, raw",204,Total Fat,0.14
9184,"Melons, honeydew, raw",601,Cholesterol,0
9184,"Melons, honeydew, raw",606,"Fatty acids, total saturated",0.038
9184,"Melons, honeydew, raw",645,"Fatty acids, total monounsaturated",0.003
9184,"Melons, honeydew, raw",646,"Fatty acids, total polyunsaturated",0.059
9191,"Nectarines, raw",204,Total Fat,0.28
9191,"Nectarines, raw",601,Cholesterol,0
9191,"Nectarines, raw",606,"Fatty acids, total saturated",0
9191,"Nectarines, raw",645,"Fatty acids, total monounsaturated",0
9191,"Nectarines, raw",646,"Fatty acids, total polyunsaturated",0
9193,"Olives, ripe, canned (small-extra large)",204,Total Fat,10.9
9193,"Olives, ripe, canned (small-extra large)",601,Cholesterol,0
9193,"Olives, ripe, canned (small-extra large)",606,"Fatty acids, total saturated",2.279
9193,"Olives, ripe, canned (small-extra large)",645,"Fatty acids, total monounsaturated",7.652
9193,"Olives, ripe, canned (small-extra large)",646,"Fatty acids, total polyunsaturated",0.629
9194,"Olives, ripe, canned (jumbo-super colossal)",204,Total Fat,6.87
9194,"Olives, ripe, canned (jumbo-super colossal)",601,Cholesterol,0
9194,"Olives, ripe, canned (jumbo-super colossal)",606,"Fatty acids, total saturated",0.909
9194,"Olives, ripe, canned (jumbo-super colossal)",645,"Fatty acids, total monounsaturated",5.071
9194,"Olives, ripe, canned (jumbo-super colossal)",646,"Fatty acids, total polyunsaturated",0.586
9195,"Olives, pickled, canned or bottled, green",204,Total Fat,15.32
9195,"Olives, pickled, canned or bottled, green",601,Cholesterol,0
9195,"Olives, pickled, canned or bottled, green",606,"Fatty acids, total saturated",2.029
9195,"Olives, pickled, canned or bottled, green",645,"Fatty acids, total monounsaturated",11.314
9195,"Olives, pickled, canned or bottled, green",646,"Fatty acids, total polyunsaturated",1.307
9200,"Oranges, raw, all commercial varieties",204,Total Fat,0.12
9200,"Oranges, raw, all commercial varieties",601,Cholesterol,0
9200,"Oranges, raw, all commercial varieties",606,"Fatty acids, total saturated",0.015
9200,"Oranges, raw, all commercial varieties",645,"Fatty acids, total monounsaturated",0.023
9200,"Oranges, raw, all commercial varieties",646,"Fatty acids, total polyunsaturated",0.025
9202,"Oranges, raw, navels",204,Total Fat,0.15
9202,"Oranges, raw, navels",601,Cholesterol,0
9202,"Oranges, raw, navels",606,"Fatty acids, total saturated",0.015
9202,"Oranges, raw, navels",645,"Fatty acids, total monounsaturated",0.023
9202,"Oranges, raw, navels",646,"Fatty acids, total polyunsaturated",0.025
9206,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",204,Total Fat,0.36
9206,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",601,Cholesterol,0
9206,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",606,"Fatty acids, total saturated",0.014
9206,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",645,"Fatty acids, total monounsaturated",0.022
9206,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",646,"Fatty acids, total polyunsaturated",0.03
9207,"Orange juice, canned, unsweetened",204,Total Fat,0.15
9207,"Orange juice, canned, unsweetened",601,Cholesterol,0
9207,"Orange juice, canned, unsweetened",606,"Fatty acids, total saturated",0.018
9207,"Orange juice, canned, unsweetened",645,"Fatty acids, total monounsaturated",0.025
9207,"Orange juice, canned, unsweetened",646,"Fatty acids, total polyunsaturated",0.034
9209,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",204,Total Fat,0.32
9209,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",601,Cholesterol,0
9209,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",606,"Fatty acids, total saturated",0.014
9209,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",645,"Fatty acids, total monounsaturated",0.022
9209,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",646,"Fatty acids, total polyunsaturated",0.03
9213,"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",204,Total Fat,0.25
9213,"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",601,Cholesterol,0
9213,"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",606,"Fatty acids, total saturated",0.059
9213,"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",645,"Fatty acids, total monounsaturated",0.05
9213,"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",646,"Fatty acids, total polyunsaturated",0.063
9214,"Orange juice, frozen concentrate, unsweetened, undiluted",204,Total Fat,0.25
9214,"Orange juice, frozen concentrate, unsweetened, undiluted",601,Cholesterol,0
9214,"Orange juice, frozen concentrate, unsweetened, undiluted",606,"Fatty acids, total saturated",0.059
9214,"Orange juice, frozen concentrate, unsweetened, undiluted",645,"Fatty acids, total monounsaturated",0.05
9214,"Orange juice, frozen concentrate, unsweetened, undiluted",646,"Fatty acids, total polyunsaturated",0.063
9218,"Tangerines, (mandarin oranges), raw",204,Total Fat,0.31
9218,"Tangerines, (mandarin oranges), raw",601,Cholesterol,0
9218,"Tangerines, (mandarin oranges), raw",606,"Fatty acids, total saturated",0.039
9218,"Tangerines, (mandarin oranges), raw",645,"Fatty acids, total monounsaturated",0.06
9218,"Tangerines, (mandarin oranges), raw",646,"Fatty acids, total polyunsaturated",0.065
9219,"Tangerines, (mandarin oranges), canned, juice pack",204,Total Fat,0.03
9219,"Tangerines, (mandarin oranges), canned, juice pack",601,Cholesterol,0
9219,"Tangerines, (mandarin oranges), canned, juice pack",606,"Fatty acids, total saturated",0.003
9219,"Tangerines, (mandarin oranges), canned, juice pack",645,"Fatty acids, total monounsaturated",0.005
9219,"Tangerines, (mandarin oranges), canned, juice pack",646,"Fatty acids, total polyunsaturated",0.005
9221,"Tangerine juice, raw",204,Total Fat,0.2
9221,"Tangerine juice, raw",601,Cholesterol,0
9221,"Tangerine juice, raw",606,"Fatty acids, total saturated",0.024
9221,"Tangerine juice, raw",645,"Fatty acids, total monounsaturated",0.036
9221,"Tangerine juice, raw",646,"Fatty acids, total polyunsaturated",0.04
9226,"Papayas, raw",204,Total Fat,0.26
9226,"Papayas, raw",601,Cholesterol,0
9226,"Papayas, raw",606,"Fatty acids, total saturated",0.081
9226,"Papayas, raw",645,"Fatty acids, total monounsaturated",0.072
9226,"Papayas, raw",646,"Fatty acids, total polyunsaturated",0.058
9229,"Papaya nectar, canned",204,Total Fat,0.15
9229,"Papaya nectar, canned",601,Cholesterol,0
9229,"Papaya nectar, canned",606,"Fatty acids, total saturated",0.047
9229,"Papaya nectar, canned",645,"Fatty acids, total monounsaturated",0.041
9229,"Papaya nectar, canned",646,"Fatty acids, total polyunsaturated",0.035
9231,"Passion-fruit, (granadilla), purple, raw",204,Total Fat,0.7
9231,"Passion-fruit, (granadilla), purple, raw",601,Cholesterol,0
9231,"Passion-fruit, (granadilla), purple, raw",606,"Fatty acids, total saturated",0.059
9231,"Passion-fruit, (granadilla), purple, raw",645,"Fatty acids, total monounsaturated",0.086
9231,"Passion-fruit, (granadilla), purple, raw",646,"Fatty acids, total polyunsaturated",0.411
9232,"Passion-fruit juice, purple, raw",204,Total Fat,0.05
9232,"Passion-fruit juice, purple, raw",601,Cholesterol,0
9232,"Passion-fruit juice, purple, raw",606,"Fatty acids, total saturated",0.004
9232,"Passion-fruit juice, purple, raw",645,"Fatty acids, total monounsaturated",0.006
9232,"Passion-fruit juice, purple, raw",646,"Fatty acids, total polyunsaturated",0.029
9236,"Peaches, yellow, raw",204,Total Fat,0.27
9236,"Peaches, yellow, raw",601,Cholesterol,0
9236,"Peaches, yellow, raw",606,"Fatty acids, total saturated",0.019
9236,"Peaches, yellow, raw",645,"Fatty acids, total monounsaturated",0.067
9236,"Peaches, yellow, raw",646,"Fatty acids, total polyunsaturated",0.086
9237,"Peaches, canned, water pack, solids and liquids",204,Total Fat,0.06
9237,"Peaches, canned, water pack, solids and liquids",601,Cholesterol,0
9237,"Peaches, canned, water pack, solids and liquids",606,"Fatty acids, total saturated",0.006
9237,"Peaches, canned, water pack, solids and liquids",645,"Fatty acids, total monounsaturated",0.021
9237,"Peaches, canned, water pack, solids and liquids",646,"Fatty acids, total polyunsaturated",0.028
9246,"Peaches, dried, sulfured, uncooked",204,Total Fat,0.76
9246,"Peaches, dried, sulfured, uncooked",601,Cholesterol,0
9246,"Peaches, dried, sulfured, uncooked",606,"Fatty acids, total saturated",0.082
9246,"Peaches, dried, sulfured, uncooked",645,"Fatty acids, total monounsaturated",0.278
9246,"Peaches, dried, sulfured, uncooked",646,"Fatty acids, total polyunsaturated",0.367
9251,"Peach nectar, canned, with sucralose, without added ascorbic acid",204,Total Fat,0.57
9251,"Peach nectar, canned, with sucralose, without added ascorbic acid",601,Cholesterol,0
9251,"Peach nectar, canned, with sucralose, without added ascorbic acid",606,"Fatty acids, total saturated",0.037
9251,"Peach nectar, canned, with sucralose, without added ascorbic acid",645,"Fatty acids, total monounsaturated",0.004
9251,"Peach nectar, canned, with sucralose, without added ascorbic acid",646,"Fatty acids, total polyunsaturated",0.008
9252,"Pears, raw",204,Total Fat,0.14
9252,"Pears, raw",601,Cholesterol,0
9252,"Pears, raw",606,"Fatty acids, total saturated",0.022
9252,"Pears, raw",645,"Fatty acids, total monounsaturated",0.084
9252,"Pears, raw",646,"Fatty acids, total polyunsaturated",0.094
9253,"Pears, canned, water pack, solids and liquids",204,Total Fat,0.03
9253,"Pears, canned, water pack, solids and liquids",601,Cholesterol,0
9253,"Pears, canned, water pack, solids and liquids",606,"Fatty acids, total saturated",0.002
9253,"Pears, canned, water pack, solids and liquids",645,"Fatty acids, total monounsaturated",0.006
9253,"Pears, canned, water pack, solids and liquids",646,"Fatty acids, total polyunsaturated",0.007
9259,"Pears, dried, sulfured, uncooked",204,Total Fat,0.63
9259,"Pears, dried, sulfured, uncooked",601,Cholesterol,0
9259,"Pears, dried, sulfured, uncooked",606,"Fatty acids, total saturated",0.035
9259,"Pears, dried, sulfured, uncooked",645,"Fatty acids, total monounsaturated",0.132
9259,"Pears, dried, sulfured, uncooked",646,"Fatty acids, total polyunsaturated",0.148
9262,"Pear nectar, canned, without added ascorbic acid",204,Total Fat,0.01
9262,"Pear nectar, canned, without added ascorbic acid",601,Cholesterol,0
9262,"Pear nectar, canned, without added ascorbic acid",606,"Fatty acids, total saturated",0.001
9262,"Pear nectar, canned, without added ascorbic acid",645,"Fatty acids, total monounsaturated",0.003
9262,"Pear nectar, canned, without added ascorbic acid",646,"Fatty acids, total polyunsaturated",0.003
9263,"Persimmons, japanese, raw",204,Total Fat,0.19
9263,"Persimmons, japanese, raw",601,Cholesterol,0
9263,"Persimmons, japanese, raw",606,"Fatty acids, total saturated",0.02
9263,"Persimmons, japanese, raw",645,"Fatty acids, total monounsaturated",0.037
9263,"Persimmons, japanese, raw",646,"Fatty acids, total polyunsaturated",0.043
9266,"Pineapple, raw, all varieties",204,Total Fat,0.12
9266,"Pineapple, raw, all varieties",601,Cholesterol,0
9266,"Pineapple, raw, all varieties",606,"Fatty acids, total saturated",0.009
9266,"Pineapple, raw, all varieties",645,"Fatty acids, total monounsaturated",0.013
9266,"Pineapple, raw, all varieties",646,"Fatty acids, total polyunsaturated",0.04
9267,"Pineapple, canned, water pack, solids and liquids",204,Total Fat,0.09
9267,"Pineapple, canned, water pack, solids and liquids",601,Cholesterol,0
9267,"Pineapple, canned, water pack, solids and liquids",606,"Fatty acids, total saturated",0.006
9267,"Pineapple, canned, water pack, solids and liquids",645,"Fatty acids, total monounsaturated",0.011
9267,"Pineapple, canned, water pack, solids and liquids",646,"Fatty acids, total polyunsaturated",0.031
9273,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",204,Total Fat,0.12
9273,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",601,Cholesterol,0
9273,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",606,"Fatty acids, total saturated",0.008
9273,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",645,"Fatty acids, total monounsaturated",0.014
9273,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",646,"Fatty acids, total polyunsaturated",0.042
9277,"Plantains, yellow, raw",204,Total Fat,0.35
9277,"Plantains, yellow, raw",601,Cholesterol,0
9277,"Plantains, yellow, raw",606,"Fatty acids, total saturated",0
9277,"Plantains, yellow, raw",645,"Fatty acids, total monounsaturated",0
9277,"Plantains, yellow, raw",646,"Fatty acids, total polyunsaturated",0
9279,"Plums, raw",204,Total Fat,0.28
9279,"Plums, raw",601,Cholesterol,0
9279,"Plums, raw",606,"Fatty acids, total saturated",0.017
9279,"Plums, raw",645,"Fatty acids, total monounsaturated",0.134
9279,"Plums, raw",646,"Fatty acids, total polyunsaturated",0.044
9286,"Pomegranates, raw",204,Total Fat,1.17
9286,"Pomegranates, raw",601,Cholesterol,0
9286,"Pomegranates, raw",606,"Fatty acids, total saturated",0.12
9286,"Pomegranates, raw",645,"Fatty acids, total monounsaturated",0.093
9286,"Pomegranates, raw",646,"Fatty acids, total polyunsaturated",0.079
9291,"Plums, dried (prunes), uncooked",204,Total Fat,0.38
9291,"Plums, dried (prunes), uncooked",601,Cholesterol,0
9291,"Plums, dried (prunes), uncooked",606,"Fatty acids, total saturated",0.088
9291,"Plums, dried (prunes), uncooked",645,"Fatty acids, total monounsaturated",0.053
9291,"Plums, dried (prunes), uncooked",646,"Fatty acids, total polyunsaturated",0.062
9294,"Prune juice, canned",204,Total Fat,0.03
9294,"Prune juice, canned",601,Cholesterol,0
9294,"Prune juice, canned",606,"Fatty acids, total saturated",0.003
9294,"Prune juice, canned",645,"Fatty acids, total monounsaturated",0.021
9294,"Prune juice, canned",646,"Fatty acids, total polyunsaturated",0.007
9298,"Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)",204,Total Fat,0.25
9298,"Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)",601,Cholesterol,0
9298,"Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)",606,"Fatty acids, total saturated",0.094
9298,"Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)",645,"Fatty acids, total monounsaturated",0.024
9298,"Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)",646,"Fatty acids, total polyunsaturated",0.053
9302,"Raspberries, raw",204,Total Fat,0.65
9302,"Raspberries, raw",601,Cholesterol,0
9302,"Raspberries, raw",606,"Fatty acids, total saturated",0.019
9302,"Raspberries, raw",645,"Fatty acids, total monounsaturated",0.064
9302,"Raspberries, raw",646,"Fatty acids, total polyunsaturated",0.375
9307,"Rhubarb, raw",204,Total Fat,0.2
9307,"Rhubarb, raw",601,Cholesterol,0
9307,"Rhubarb, raw",606,"Fatty acids, total saturated",0.053
9307,"Rhubarb, raw",645,"Fatty acids, total monounsaturated",0.039
9307,"Rhubarb, raw",646,"Fatty acids, total polyunsaturated",0.099
9316,"Strawberries, raw",204,Total Fat,0.22
9316,"Strawberries, raw",601,Cholesterol,0
9316,"Strawberries, raw",606,"Fatty acids, total saturated",0
9316,"Strawberries, raw",645,"Fatty acids, total monounsaturated",0
9316,"Strawberries, raw",646,"Fatty acids, total polyunsaturated",0
9317,"Strawberries, canned, heavy syrup pack, solids and liquids",204,Total Fat,0.26
9317,"Strawberries, canned, heavy syrup pack, solids and liquids",601,Cholesterol,0
9317,"Strawberries, canned, heavy syrup pack, solids and liquids",606,"Fatty acids, total saturated",0.014
9317,"Strawberries, canned, heavy syrup pack, solids and liquids",645,"Fatty acids, total monounsaturated",0.036
9317,"Strawberries, canned, heavy syrup pack, solids and liquids",646,"Fatty acids, total polyunsaturated",0.129
9318,"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",204,Total Fat,0.11
9318,"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",601,Cholesterol,0
9318,"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",606,"Fatty acids, total saturated",0.006
9318,"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",645,"Fatty acids, total monounsaturated",0.015
9318,"Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",646,"Fatty acids, total polyunsaturated",0.054
9322,"Tamarinds, raw",204,Total Fat,0.6
9322,"Tamarinds, raw",601,Cholesterol,0
9322,"Tamarinds, raw",606,"Fatty acids, total saturated",0.272
9322,"Tamarinds, raw",645,"Fatty acids, total monounsaturated",0.181
9322,"Tamarinds, raw",646,"Fatty acids, total polyunsaturated",0.059
9326,"Watermelon, raw",204,Total Fat,0.15
9326,"Watermelon, raw",601,Cholesterol,0
9326,"Watermelon, raw",606,"Fatty acids, total saturated",0.016
9326,"Watermelon, raw",645,"Fatty acids, total monounsaturated",0.037
9326,"Watermelon, raw",646,"Fatty acids, total polyunsaturated",0.05
9328,"Maraschino cherries, canned, drained",204,Total Fat,0.21
9328,"Maraschino cherries, canned, drained",601,Cholesterol,0
9328,"Maraschino cherries, canned, drained",606,"Fatty acids, total saturated",0.039
9328,"Maraschino cherries, canned, drained",645,"Fatty acids, total monounsaturated",0.049
9328,"Maraschino cherries, canned, drained",646,"Fatty acids, total polyunsaturated",0.055
9340,"Pears, asian, raw",204,Total Fat,0.23
9340,"Pears, asian, raw",601,Cholesterol,0
9340,"Pears, asian, raw",606,"Fatty acids, total saturated",0.012
9340,"Pears, asian, raw",645,"Fatty acids, total monounsaturated",0.049
9340,"Pears, asian, raw",646,"Fatty acids, total polyunsaturated",0.055
9352,"Blueberries, canned, light syrup, drained",204,Total Fat,0.4
9352,"Blueberries, canned, light syrup, drained",601,Cholesterol,0
9352,"Blueberries, canned, light syrup, drained",606,"Fatty acids, total saturated",0.028
9352,"Blueberries, canned, light syrup, drained",645,"Fatty acids, total monounsaturated",0.062
9352,"Blueberries, canned, light syrup, drained",646,"Fatty acids, total polyunsaturated",0.19
9400,"Apple juice, with added vitamin C, from concentrate, shelf stable",204,Total Fat,0.29
9400,"Apple juice, with added vitamin C, from concentrate, shelf stable",601,Cholesterol,0
9400,"Apple juice, with added vitamin C, from concentrate, shelf stable",606,"Fatty acids, total saturated",0.022
9400,"Apple juice, with added vitamin C, from concentrate, shelf stable",645,"Fatty acids, total monounsaturated",0.006
9400,"Apple juice, with added vitamin C, from concentrate, shelf stable",646,"Fatty acids, total polyunsaturated",0.039
9409,"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",204,Total Fat,0.12
9409,"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",601,Cholesterol,0
9409,"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",606,"Fatty acids, total saturated",0.008
9409,"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",645,"Fatty acids, total monounsaturated",0.014
9409,"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",646,"Fatty acids, total polyunsaturated",0.042
9412,"Pears, raw, bartlett",204,Total Fat,0.16
9412,"Pears, raw, bartlett",601,Cholesterol,0
9412,"Pears, raw, bartlett",606,"Fatty acids, total saturated",0.022
9412,"Pears, raw, bartlett",645,"Fatty acids, total monounsaturated",0.084
9412,"Pears, raw, bartlett",646,"Fatty acids, total polyunsaturated",0.094
9426,Candied fruit,204,Total Fat,0.07
9426,Candied fruit,601,Cholesterol,0
9426,Candied fruit,606,"Fatty acids, total saturated",0.01
9426,Candied fruit,645,"Fatty acids, total monounsaturated",0.008
9426,Candied fruit,646,"Fatty acids, total polyunsaturated",0.02
9434,"Guanabana nectar, canned",204,Total Fat,0.17
9434,"Guanabana nectar, canned",601,Cholesterol,0
9434,"Guanabana nectar, canned",606,"Fatty acids, total saturated",0.029
9434,"Guanabana nectar, canned",645,"Fatty acids, total monounsaturated",0.051
9434,"Guanabana nectar, canned",646,"Fatty acids, total polyunsaturated",0.039
9436,"Mango nectar, canned",204,Total Fat,0.06
9436,"Mango nectar, canned",601,Cholesterol,0
9436,"Mango nectar, canned",606,"Fatty acids, total saturated",0.014
9436,"Mango nectar, canned",645,"Fatty acids, total monounsaturated",0.022
9436,"Mango nectar, canned",646,"Fatty acids, total polyunsaturated",0.011
9442,"Pomegranate juice, bottled",204,Total Fat,0.29
9442,"Pomegranate juice, bottled",601,Cholesterol,0
9442,"Pomegranate juice, bottled",606,"Fatty acids, total saturated",0.077
9442,"Pomegranate juice, bottled",645,"Fatty acids, total monounsaturated",0.059
9442,"Pomegranate juice, bottled",646,"Fatty acids, total polyunsaturated",0.05
9443,"Juice, apple and grape blend, with added ascorbic acid",204,Total Fat,0.12
9443,"Juice, apple and grape blend, with added ascorbic acid",601,Cholesterol,0
9443,"Juice, apple and grape blend, with added ascorbic acid",606,"Fatty acids, total saturated",0.023
9443,"Juice, apple and grape blend, with added ascorbic acid",645,"Fatty acids, total monounsaturated",0.005
9443,"Juice, apple and grape blend, with added ascorbic acid",646,"Fatty acids, total polyunsaturated",0.032
9500,"Apples, red delicious, with skin, raw",204,Total Fat,0.21
9500,"Apples, red delicious, with skin, raw",601,Cholesterol,0
9500,"Apples, red delicious, with skin, raw",606,"Fatty acids, total saturated",0.028
9500,"Apples, red delicious, with skin, raw",645,"Fatty acids, total monounsaturated",0.007
9500,"Apples, red delicious, with skin, raw",646,"Fatty acids, total polyunsaturated",0.051
9501,"Apples, honeycrisp, with skin, raw",204,Total Fat,0.1
9501,"Apples, honeycrisp, with skin, raw",601,Cholesterol,0
9501,"Apples, honeycrisp, with skin, raw",606,"Fatty acids, total saturated",0.028
9501,"Apples, honeycrisp, with skin, raw",645,"Fatty acids, total monounsaturated",0.007
9501,"Apples, honeycrisp, with skin, raw",646,"Fatty acids, total polyunsaturated",0.051
9502,"Apples, granny smith, with skin, raw",204,Total Fat,0.14
9502,"Apples, granny smith, with skin, raw",601,Cholesterol,0
9502,"Apples, granny smith, with skin, raw",606,"Fatty acids, total saturated",0.028
9502,"Apples, granny smith, with skin, raw",645,"Fatty acids, total monounsaturated",0.007
9502,"Apples, granny smith, with skin, raw",646,"Fatty acids, total polyunsaturated",0.051
9503,"Apples, gala, with skin, raw",204,Total Fat,0.15
9503,"Apples, gala, with skin, raw",601,Cholesterol,0
9503,"Apples, gala, with skin, raw",606,"Fatty acids, total saturated",0.028
9503,"Apples, gala, with skin, raw",645,"Fatty acids, total monounsaturated",0.007
9503,"Apples, gala, with skin, raw",646,"Fatty acids, total polyunsaturated",0.051
9504,"Apples, fuji, with skin, raw",204,Total Fat,0.16
9504,"Apples, fuji, with skin, raw",601,Cholesterol,0
9504,"Apples, fuji, with skin, raw",606,"Fatty acids, total saturated",0.028
9504,"Apples, fuji, with skin, raw",645,"Fatty acids, total monounsaturated",0.007
9504,"Apples, fuji, with skin, raw",646,"Fatty acids, total polyunsaturated",0.051
9508,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",204,Total Fat,0.26
9508,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",601,Cholesterol,0
9508,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",606,"Fatty acids, total saturated",0.053
9508,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",645,"Fatty acids, total monounsaturated",0.04
9508,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",646,"Fatty acids, total polyunsaturated",0.073
9512,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",204,Total Fat,0.13
9512,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",601,Cholesterol,0
9512,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",606,"Fatty acids, total saturated",0.025
9512,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",645,"Fatty acids, total monounsaturated",0.003
9512,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",646,"Fatty acids, total polyunsaturated",0.022
9517,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",204,Total Fat,0.17
9517,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",601,Cholesterol,0
9517,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",606,"Fatty acids, total saturated",0.029
9517,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",645,"Fatty acids, total monounsaturated",0.008
9517,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",646,"Fatty acids, total polyunsaturated",0.051
9519,"Guava nectar, with sucralose, canned",204,Total Fat,0.07
9519,"Guava nectar, with sucralose, canned",601,Cholesterol,0
9519,"Guava nectar, with sucralose, canned",606,"Fatty acids, total saturated",0.023
9519,"Guava nectar, with sucralose, canned",645,"Fatty acids, total monounsaturated",0.02
9519,"Guava nectar, with sucralose, canned",646,"Fatty acids, total polyunsaturated",0.017
9522,"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",204,Total Fat,0.12
9522,"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",601,Cholesterol,0
9522,"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",606,"Fatty acids, total saturated",0.002
9522,"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",645,"Fatty acids, total monounsaturated",0.002
9522,"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",646,"Fatty acids, total polyunsaturated",0.002
9531,"Fruit juice smoothie, NAKED JUICE, strawberry banana",204,Total Fat,0.27
9531,"Fruit juice smoothie, NAKED JUICE, strawberry banana",601,Cholesterol,0
9531,"Fruit juice smoothie, NAKED JUICE, strawberry banana",606,"Fatty acids, total saturated",0.061
9531,"Fruit juice smoothie, NAKED JUICE, strawberry banana",645,"Fatty acids, total monounsaturated",0.016
9531,"Fruit juice smoothie, NAKED JUICE, strawberry banana",646,"Fatty acids, total polyunsaturated",0.029
9533,"Olives, green, Manzanilla, stuffed with pimiento",204,Total Fat,12.9
9533,"Olives, green, Manzanilla, stuffed with pimiento",601,Cholesterol,0
9533,"Olives, green, Manzanilla, stuffed with pimiento",606,"Fatty acids, total saturated",2.3
9533,"Olives, green, Manzanilla, stuffed with pimiento",645,"Fatty acids, total monounsaturated",8.86
9533,"Olives, green, Manzanilla, stuffed with pimiento",646,"Fatty acids, total polyunsaturated",0.661
10002,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",204,Total Fat,4.86
10002,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",601,Cholesterol,64
10002,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",606,"Fatty acids, total saturated",1.625
10002,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",645,"Fatty acids, total monounsaturated",2.063
10002,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",646,"Fatty acids, total polyunsaturated",0.519
